periodo;trm;dia;primera_dif;segunda_dif;trans_max_min;estanrazicacion z;trans_max_min;1dif;y_t;y_t-1;y_t-2;y_t-3;m1;m2;m3
34012;748,22;viernes;2,84;2,73;0,421530063;0,129787608;0,02873492;0,000639555;2,84;-0,11;0,04;-1,11;-0,035;-0,393333333;-0,1025
34015;748,88;lunes;0,66;3,5;0,415696663;0,015917921;0,028883549;0,000148629;0,66;2,84;-0,11;0,04;1,365;0,923333333;0,415
34016;748,18;martes;-0,7;-0,04;0,412057478;-0,055120049;0,028725913;-0,000157637;-0,7;0,66;2,84;-0,11;1,75;1,13;0,8575
34017;749,69;miércoles;1,51;0,81;0,417971154;0,060316652;0,029065957;0,000340045;1,51;-0,7;0,66;2,84;-0,02;0,933333333;0,6725
34018;750,75;jueves;1,06;2,57;0,416767012;0,036811441;0,029304664;0,000238707;1,06;1,51;-0,7;0,66;0,405;0,49;1,0775
34019;752,47;viernes;1,72;2,78;0,418533087;0,07128575;0,029692;0,000387336;1,72;1,06;1,51;-0,7;1,285;0,623333333;0,6325
34022;751,96;lunes;-0,51;1,21;0,412565893;-0,045195627;0,029577151;-0,00011485;-0,51;1,72;1,06;1,51;1,39;1,43;0,8975
34023;752,52;martes;0,56;0,05;0,415429076;0,010694541;0,02970326;0,000126109;0,56;-0,51;1,72;1,06;0,605;0,756666667;0,945
34024;753,33;miércoles;0,81;1,37;0,416098044;0,023752991;0,029885668;0,000182408;0,81;0,56;-0,51;1,72;0,025;0,59;0,7075
34025;755,07;jueves;1,74;2,55;0,418586605;0,072330426;0,030277508;0,00039184;1,74;0,81;0,56;-0,51;0,685;0,286666667;0,645
34026;759,2;viernes;4,13;5,87;0,424981938;0,197169212;0,031207565;0,000930057;4,13;1,74;0,81;0,56;1,275;1,036666667;0,65
34029;758,03;lunes;-1,17;2,96;0,410799818;-0,079669936;0,030944086;-0,000263479;-1,17;4,13;1,74;0,81;2,935;2,226666667;1,81
34030;757,89;martes;-0,14;-1,31;0,413555966;-0,02586912;0,030912559;-3,15273E-05;-0,14;-1,17;4,13;1,74;1,48;1,566666667;1,3775
34031;760,71;miércoles;2,82;2,68;0,421476546;0,128742932;0,03154761;0,000635051;2,82;-0,14;-1,17;4,13;-0,655;0,94;1,14
34032;762,68;jueves;1,97;4,79;0,419202055;0,084344201;0,031991244;0,000443635;1,97;2,82;-0,14;-1,17;1,34;0,503333333;1,41
34033;762,04;viernes;-0,64;1,33;0,41221803;-0,051986021;0,031847119;-0,000144125;-0,64;1,97;2,82;-0,14;2,395;1,55;0,87
34036;762,2;lunes;0,16;-0,48;0,414358727;-0,01019898;0,031883151;3,60312E-05;0,16;-0,64;1,97;2,82;0,665;1,383333333;1,0025
34037;763,38;martes;1,18;1,34;0,417088116;0,043079497;0,032148881;0,00026573;1,18;0,16;-0,64;1,97;-0,24;0,496666667;1,0775
34038;763,9;miércoles;0,52;1,7;0,415322041;0,008605188;0,032265983;0,000117102;0,52;1,18;0,16;-0,64;0,67;0,233333333;0,6675
34039;764,74;jueves;0,84;1,36;0,41617832;0,025320005;0,032455147;0,000189164;0,84;0,52;1,18;0,16;0,85;0,62;0,305
34040;765,19;viernes;0,45;1,29;0,41513473;0,004948822;0,032556485;0,000101338;0,45;0,84;0,52;1,18;0,68;0,846666667;0,675
34043;764,79;lunes;-0,4;0,05;0,412860239;-0,039449909;0,032466406;-9,00781E-05;-0,4;0,45;0,84;0,52;0,645;0,603333333;0,7475
34044;764,29;martes;-0,5;-0,9;0,412592652;-0,044673289;0,032353809;-0,000112598;-0,5;-0,4;0,45;0,84;0,025;0,296666667;0,3525
34045;765,06;miércoles;0,77;0,27;0,415991009;0,021663639;0,032527209;0,0001734;0,77;-0,5;-0,4;0,45;-0,45;-0,15;0,0975
34046;766,12;jueves;1,06;1,83;0,416767012;0,036811441;0,032765916;0,000238707;1,06;0,77;-0,5;-0,4;0,135;-0,043333333;0,08
34047;766,42;viernes;0,3;1,36;0,414733349;-0,002886248;0,032833475;6,75586E-05;0,3;1,06;0,77;-0,5;0,915;0,443333333;0,2325
34050;766,84;lunes;0,42;0,72;0,415054454;0,003381808;0,032928057;9,4582E-05;0,42;0,3;1,06;0,77;0,68;0,71;0,4075
34051;766,84;martes;0;0,42;0,413930588;-0,018556388;0,032928057;0;0;0,42;0,3;1,06;0,36;0,593333333;0,6375
34052;766,63;miércoles;-0,21;-0,21;0,413368655;-0,029525487;0,032880766;-4,7291E-05;-0,21;0;0,42;0,3;0,21;0,24;0,445
34053;766,91;jueves;0,28;0,07;0,414679832;-0,003930924;0,032943821;6,30547E-05;0,28;-0,21;0;0,42;-0,105;0,07;0,1275
34054;767,99;viernes;1,08;1,36;0,416820529;0,037856117;0,033187031;0,000243211;1,08;0,28;-0,21;0;0,035;0,023333333;0,1225
34057;767,4;lunes;-0,59;0,49;0,412351824;-0,049374331;0,033054166;-0,000132865;-0,59;1,08;0,28;-0,21;0,68;0,383333333;0,2875
34058;766,79;martes;-0,61;-1,2;0,412298306;-0,050419007;0,032916797;-0,000137369;-0,61;-0,59;1,08;0,28;0,245;0,256666667;0,14
34059;766,41;miércoles;-0,38;-0,99;0,412913757;-0,038405233;0,032831223;-8,55742E-05;-0,38;-0,61;-0,59;1,08;-0,6;-0,04;0,04
34060;766,44;jueves;0,03;-0,35;0,414010864;-0,016989374;0,032837979;6,75586E-06;0,03;-0,38;-0,61;-0,59;-0,495;-0,526666667;-0,125
34061;767,98;viernes;1,54;1,57;0,41805143;0,061883666;0,03318478;0,000346801;1,54;0,03;-0,38;-0,61;-0,175;-0,32;-0,3875
34064;768,46;lunes;0,48;2,02;0,415215006;0,006515836;0,033292873;0,000108094;0,48;1,54;0,03;-0,38;0,785;0,396666667;0,145
34065;768,31;martes;-0,15;0,33;0,413529207;-0,026391458;0,033259094;-3,37793E-05;-0,15;0,48;1,54;0,03;1,01;0,683333333;0,4175
34066;768,52;miércoles;0,21;0,06;0,414492521;-0,00758729;0,033306385;4,7291E-05;0,21;-0,15;0,48;1,54;0,165;0,623333333;0,475
34067;768,6;jueves;0,08;0,29;0,414144658;-0,014377684;0,033324401;1,80156E-05;0,08;0,21;-0,15;0,48;0,03;0,18;0,52
34068;768,6;viernes;0;0,08;0,413930588;-0,018556388;0,033324401;0;0;0,08;0,21;-0,15;0,145;0,046666667;0,155
34071;768,6;lunes;0;0;0,413930588;-0,018556388;0,033324401;0;0;0;0,08;0,21;0,04;0,096666667;0,035
34072;769,34;martes;0,74;0,74;0,415910733;0,020096625;0,033491045;0,000166645;0,74;0;0;0,08;0;0,026666667;0,0725
34073;769,8;miércoles;0,46;1,2;0,415161489;0,00547116;0,033594635;0,00010359;0,46;0,74;0;0;0,37;0,246666667;0,205
34074;771,56;jueves;1,76;2,22;0,418640122;0,073375102;0,033990979;0,000396344;1,76;0,46;0,74;0;0,6;0,4;0,3
34075;772,71;viernes;1,15;2,91;0,41700784;0,041512483;0,034249953;0,000258975;1,15;1,76;0,46;0,74;1,11;0,986666667;0,74
34078;773,22;lunes;0,51;1,66;0,415295282;0,00808285;0,034364803;0,00011485;0,51;1,15;1,76;0,46;1,455;1,123333333;1,0275
34079;773,7;martes;0,48;0,99;0,415215006;0,006515836;0,034472897;0,000108094;0,48;0,51;1,15;1,76;0,83;1,14;0,97
